R	j
2.36,-9.46,0.25,0.13,0.00,0.76
2.07,-9.55,0.07,0.18,-0.10,0.59
1.99,-9.73,-0.22,0.24,-0.11,0.40
1.67,-9.79,-0.23,0.30,-0.04,0.20
1.81,-9.75,-0.33,0.37,-0.06,0.04
1.66,-9.71,-0.42,0.44,-0.01,-0.08
1.61,-9.71,-0.48,0.52,-0.05,-0.18
1.96,-9.85,-0.80,0.63,-0.07,-0.24
2.06,-9.77,-0.99,0.75,-0.01,-0.26
2.15,-9.61,-1.10,0.90,-0.03,-0.24
2.36,-9.54,-1.03,1.04,-0.09,-0.23
2.60,-9.55,-1.00,1.20,-0.11,-0.20
2.83,-9.39,-0.99,1.35,-0.12,-0.18
3.02,-9.22,-1.14,1.44,-0.09,-0.17
3.08,-9.07,-0.93,1.55,-0.10,-0.11
3.36,-8.70,-0.96,1.68,-0.06,-0.00
3.37,-8.63,-0.82,1.88,0.09,0.14
3.29,-8.43,-0.56,2.13,0.20,0.31
3.12,-7.99,-0.13,2.36,0.20,0.44
3.00,-7.73,0.41,2.63,0.17,0.54
2.89,-7.75,0.92,2.92,0.11,0.60
2.56,-7.38,1.62,3.17,0.01,0.62
2.51,-7.08,2.25,3.35,-0.17,0.60
2.53,-6.73,2.88,3.48,-0.27,0.57
2.66,-6.44,3.51,3.53,-0.17,0.56
2.41,-6.04,4.57,3.54,0.06,0.59
1.87,-5.58,5.71,3.52,0.16,0.67
1.76,-5.38,6.40,3.44,0.17,0.72
1.65,-4.90,7.24,3.24,0.23,0.76
1.25,-4.36,8.41,2.96,0.27,0.74
1.18,-4.01,9.44,2.67,0.25,0.70
0.76,-3.47,10.22,2.39,0.21,0.65
0.80,-3.13,10.90,2.08,0.09,0.59
0.94,-2.58,11.58,1.75,0.07,0.48
0.96,-2.31,12.21,1.43,0.05,0.38
0.96,-2.03,12.85,1.10,-0.01,0.32
0.99,-1.63,13.36,0.73,-0.10,0.30
0.90,-1.53,13.72,0.35,-0.14,0.32
0.77,-1.47,13.96,-0.12,-0.12,0.37
0.50,-1.34,13.89,-0.64,-0.08,0.36
0.36,-1.34,13.80,-1.13,-0.06,0.28
0.18,-1.43,13.71,-1.60,-0.18,0.14
0.28,-1.71,13.29,-2.01,-0.29,0.02
0.42,-1.93,12.64,-2.38,-0.32,-0.06
0.59,-2.23,11.83,-2.78,-0.28,-0.14
0.69,-2.52,10.70,-3.19,-0.24,-0.23
0.93,-2.91,9.84,-3.56,-0.11,-0.32
0.93,-3.17,8.86,-3.89,0.05,-0.44
